train_id,fitness_days_remaining,job_card_status,current_mileage_km,branding_contract_status,branding_penalty_risk_lakh,cleaning_status,depot_track,last_induction_date,total_score,status,rejection_reason,explanation,fitness_score,maintenance_score,mileage_score,branding_score,cleaning_score,depot_score
T12,93,MINOR,126541,NONE,0.0,DONE,A12,2025-10-29,82.0,ELIGIBLE,,Overall score 82.0/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; only MINOR job card issues open.,100,70,80,50,100,100
T13,70,CLEAR,128313,MEDIUM,3.14,DONE,B1,2025-11-16,86.3,ELIGIBLE,,Overall score 86.3/100. Key factors: branding contract has MEDIUM urgency; mileage close to fleet average; located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,96,100,80,70,100,0
T14,73,CLEAR,131050,LOW,0.9,DONE,B2,2025-11-13,82.1,ELIGIBLE,,Overall score 82.1/100. Key factors: branding contract has LOW urgency; mileage close to fleet average; located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,97,100,80,40,100,0
T15,68,CLEAR,114343,MEDIUM,3.89,DONE,B3,2025-10-25,86.89999999999999,ELIGIBLE,,Overall score 86.9/100. Key factors: branding contract has MEDIUM urgency; underutilized mileage (boosted to balance fleet wear); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,96,100,84,70,100,0
T16,75,CLEAR,123443,MEDIUM,3.09,PENDING,B4,2025-10-23,79.6,ELIGIBLE,,Overall score 79.6/100. Key factors: branding contract has MEDIUM urgency; mileage close to fleet average; located on B-track (requires shunting); cleaning pending; no open job cards.,97,100,80,70,30,0
T17,49,MINOR,122237,NONE,0.0,PENDING,B5,2025-11-04,66.4,ELIGIBLE,,Overall score 66.4/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on B-track (requires shunting); cleaning pending; only MINOR job card issues open.,88,70,80,50,30,0
T18,12,MINOR,120889,MEDIUM,2.26,PENDING,B6,2025-11-08,58.3,ELIGIBLE,,Overall score 58.3/100. Key factors: branding contract has MEDIUM urgency; mileage close to fleet average; located on B-track (requires shunting); cleaning pending; only MINOR job card issues open.,51,70,80,70,30,0
T19,80,CRITICAL,123799,NONE,0.0,DONE,B7,2025-11-11,0.0,REJECTED,Critical open job card (safety-critical defect),Auto-rejected due to safety/legal constraints.,98,0,80,50,100,0
T20,43,CLEAR,137960,NONE,0.0,DONE,B8,2025-11-03,79.55,ELIGIBLE,,Overall score 79.5/100. Key factors: no active branding contract (neutral); overutilized mileage (slightly deprioritized); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,86,100,75,50,100,0
T21,48,CLEAR,119073,NONE,0.0,DONE,B9,2025-11-04,80.9,ELIGIBLE,,Overall score 80.9/100. Key factors: no active branding contract (neutral); underutilized mileage (boosted to balance fleet wear); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,88,100,80,50,100,0
T22,35,CLEAR,133746,MEDIUM,2.35,DONE,B10,2025-11-13,81.8,ELIGIBLE,,Overall score 81.8/100. Key factors: branding contract has MEDIUM urgency; overutilized mileage (slightly deprioritized); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,82,100,78,70,100,0
T23,17,CLEAR,112537,NONE,0.0,DONE,B11,2025-11-21,73.85,ELIGIBLE,,Overall score 73.8/100. Key factors: no active branding contract (neutral); underutilized mileage (boosted to balance fleet wear); located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,62,100,85,50,100,0
T24,88,CLEAR,123321,NONE,0.0,DONE,B12,2025-11-17,84.2,ELIGIBLE,,Overall score 84.2/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on B-track (requires shunting); cleaning completed within last cycle; no open job cards.,99,100,80,50,100,0
T25,75,CLEAR,127302,LOW,2.89,DONE,A1,2025-10-24,87.1,ELIGIBLE,,Overall score 87.1/100. Key factors: branding contract has LOW urgency; mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,97,100,80,40,100,100
