Train_ID,Line,Description
M3D072,Blue Line,Blue Line - Train 72
M3D073,Blue Line,Blue Line - Train 73
M3D074,Blue Line,Blue Line - Train 74
M3D075,Blue Line,Blue Line - Train 75
M3D076,Blue Line,Blue Line - Train 76
M3D077,Blue Line,Blue Line - Train 77
M3D078,Blue Line,Blue Line - Train 78
M4D001,Grey Line,Grey Line - Train 1
M4D002,Grey Line,Grey Line - Train 2
M4D003,Grey Line,Grey Line - Train 3
M4D004,Grey Line,Grey Line - Train 4
M4D005,Grey Line,Grey Line - Train 5
M5D001,Green Line,Green Line - Train 1
M5D002,Green Line,Green Line - Train 2
M5D003,Green Line,Green Line - Train 3
M5D004,Green Line,Green Line - Train 4
M5D005,Green Line,Green Line - Train 5
M5D006,Green Line,Green Line - Train 6
M5D007,Green Line,Green Line - Train 7
M5D008,Green Line,Green Line - Train 8
M5D009,Green Line,Green Line - Train 9
M5D010,Green Line,Green Line - Train 10
M5D011,Green Line,Green Line - Train 11
M5D012,Green Line,Green Line - Train 12
M5D013,Green Line,Green Line - Train 13
M5D014,Green Line,Green Line - Train 14
M5D015,Green Line,Green Line - Train 15
M5D016,Green Line,Green Line - Train 16
M5D017,Green Line,Green Line - Train 17
M5D018,Green Line,Green Line - Train 18
M5D019,Green Line,Green Line - Train 19
M5D020,Green Line,Green Line - Train 20
M5D021,Green Line,Green Line - Train 21
M5D022,Green Line,Green Line - Train 22
M5D023,Green Line,Green Line - Train 23
M5D024,Green Line,Green Line - Train 24
M5D025,Green Line,Green Line - Train 25
M5D026,Green Line,Green Line - Train 26
M5D027,Green Line,Green Line - Train 27
M5D028,Green Line,Green Line - Train 28
M5D029,Green Line,Green Line - Train 29
M5D030,Green Line,Green Line - Train 30
M5D031,Green Line,Green Line - Train 31
M5D032,Green Line,Green Line - Train 32
M5D033,Green Line,Green Line - Train 33
M5D034,Green Line,Green Line - Train 34
M5D035,Green Line,Green Line - Train 35
M6D001,Violet Line,Violet Line - Train 1
M6D002,Violet Line,Violet Line - Train 2
M6D003,Violet Line,Violet Line - Train 3
M6D004,Violet Line,Violet Line - Train 4
M6D005,Violet Line,Violet Line - Train 5
M6D006,Violet Line,Violet Line - Train 6
M6D007,Violet Line,Violet Line - Train 7
M6D008,Violet Line,Violet Line - Train 8
M6D009,Violet Line,Violet Line - Train 9
M6D010,Violet Line,Violet Line - Train 10
M6D011,Violet Line,Violet Line - Train 11
M6D012,Violet Line,Violet Line - Train 12
M6D013,Violet Line,Violet Line - Train 13
M6D014,Violet Line,Violet Line - Train 14
M6D015,Violet Line,Violet Line - Train 15
M6D016,Violet Line,Violet Line - Train 16
M6D017,Violet Line,Violet Line - Train 17
M6D018,Violet Line,Violet Line - Train 18
M6D019,Violet Line,Violet Line - Train 19
M6D020,Violet Line,Violet Line - Train 20
M6D021,Violet Line,Violet Line - Train 21
M6D022,Violet Line,Violet Line - Train 22
M6D023,Violet Line,Violet Line - Train 23
M6D024,Violet Line,Violet Line - Train 24
M6D025,Violet Line,Violet Line - Train 25
M6D026,Violet Line,Violet Line - Train 26
M6D027,Violet Line,Violet Line - Train 27
M6D028,Violet Line,Violet Line - Train 28
M6D029,Violet Line,Violet Line - Train 29
M6D030,Violet Line,Violet Line - Train 30
M6D031,Violet Line,Violet Line - Train 31
M6D032,Violet Line,Violet Line - Train 32
M6D033,Violet Line,Violet Line - Train 33
M6D034,Violet Line,Violet Line - Train 34
M6D035,Violet Line,Violet Line - Train 35
M6D036,Violet Line,Violet Line - Train 36
M6D037,Violet Line,Violet Line - Train 37
M6D038,Violet Line,Violet Line - Train 38
M6D039,Violet Line,Violet Line - Train 39
M6D040,Violet Line,Violet Line - Train 40
M6D041,Violet Line,Violet Line - Train 41
M6D042,Violet Line,Violet Line - Train 42
M6D043,Violet Line,Violet Line - Train 43
M6D044,Violet Line,Violet Line - Train 44
M6D045,Violet Line,Violet Line - Train 45
M6D046,Violet Line,Violet Line - Train 46
M6D047,Violet Line,Violet Line - Train 47
M6D048,Violet Line,Violet Line - Train 48
M6D049,Violet Line,Violet Line - Train 49
M6D050,Violet Line,Violet Line - Train 50
M6D051,Violet Line,Violet Line - Train 51
M6D052,Violet Line,Violet Line - Train 52
M6D053,Violet Line,Violet Line - Train 53
M6D054,Violet Line,Violet Line - Train 54
M6D055,Violet Line,Violet Line - Train 55
M6D056,Violet Line,Violet Line - Train 56
M6D057,Violet Line,Violet Line - Train 57
M7D001,Airport Express (Orange Line),Airport Express (Orange Line) - Train 1
M7D002,Airport Express (Orange Line),Airport Express (Orange Line) - Train 2
M7D003,Airport Express (Orange Line),Airport Express (Orange Line) - Train 3
M7D004,Airport Express (Orange Line),Airport Express (Orange Line) - Train 4
M7D005,Airport Express (Orange Line),Airport Express (Orange Line) - Train 5
M7D006,Airport Express (Orange Line),Airport Express (Orange Line) - Train 6
M7D007,Airport Express (Orange Line),Airport Express (Orange Line) - Train 7
M7D008,Airport Express (Orange Line),Airport Express (Orange Line) - Train 8
M7D009,Airport Express (Orange Line),Airport Express (Orange Line) - Train 9
M7D010,Airport Express (Orange Line),Airport Express (Orange Line) - Train 10
M8D001,Pink Line,Pink Line - Train 1
M8D002,Pink Line,Pink Line - Train 2
M8D003,Pink Line,Pink Line - Train 3
M8D004,Pink Line,Pink Line - Train 4
M8D005,Pink Line,Pink Line - Train 5
M8D006,Pink Line,Pink Line - Train 6
M8D007,Pink Line,Pink Line - Train 7
M8D008,Pink Line,Pink Line - Train 8
M8D009,Pink Line,Pink Line - Train 9
M8D010,Pink Line,Pink Line - Train 10
M8D011,Pink Line,Pink Line - Train 11
M8D012,Pink Line,Pink Line - Train 12
M8D013,Pink Line,Pink Line - Train 13
M8D014,Pink Line,Pink Line - Train 14
M8D015,Pink Line,Pink Line - Train 15
M8D016,Pink Line,Pink Line - Train 16
M8D017,Pink Line,Pink Line - Train 17
M8D018,Pink Line,Pink Line - Train 18
M8D019,Pink Line,Pink Line - Train 19
M8D020,Pink Line,Pink Line - Train 20
M8D021,Pink Line,Pink Line - Train 21
M8D022,Pink Line,Pink Line - Train 22
M8D023,Pink Line,Pink Line - Train 23
M8D024,Pink Line,Pink Line - Train 24
M8D025,Pink Line,Pink Line - Train 25
M8D026,Pink Line,Pink Line - Train 26
M8D027,Pink Line,Pink Line - Train 27
M8D028,Pink Line,Pink Line - Train 28
M8D029,Pink Line,Pink Line - Train 29
M8D030,Pink Line,Pink Line - Train 30
M8D031,Pink Line,Pink Line - Train 31
M8D032,Pink Line,Pink Line - Train 32
M8D033,Pink Line,Pink Line - Train 33
M8D034,Pink Line,Pink Line - Train 34
M8D035,Pink Line,Pink Line - Train 35
M8D036,Pink Line,Pink Line - Train 36
M8D037,Pink Line,Pink Line - Train 37
M8D038,Pink Line,Pink Line - Train 38
M8D039,Pink Line,Pink Line - Train 39
M8D040,Pink Line,Pink Line - Train 40
M8D041,Pink Line,Pink Line - Train 41
M8D042,Pink Line,Pink Line - Train 42
M8D043,Pink Line,Pink Line - Train 43
M8D044,Pink Line,Pink Line - Train 44
M8D045,Pink Line,Pink Line - Train 45
M8D046,Pink Line,Pink Line - Train 46
M8D047,Pink Line,Pink Line - Train 47
M8D048,Pink Line,Pink Line - Train 48
M8D049,Pink Line,Pink Line - Train 49
M8D050,Pink Line,Pink Line - Train 50
M8D051,Pink Line,Pink Line - Train 51
M8D052,Pink Line,Pink Line - Train 52
M8D053,Pink Line,Pink Line - Train 53
M8D054,Pink Line,Pink Line - Train 54
M8D055,Pink Line,Pink Line - Train 55
M8D056,Pink Line,Pink Line - Train 56
M8D057,Pink Line,Pink Line - Train 57
M8D058,Pink Line,Pink Line - Train 58
M8D059,Pink Line,Pink Line - Train 59
M8D060,Pink Line,Pink Line - Train 60
M8D061,Pink Line,Pink Line - Train 61
M8D062,Pink Line,Pink Line - Train 62
M8D063,Pink Line,Pink Line - Train 63
M9D001,Magenta Line,Magenta Line - Train 1
M9D002,Magenta Line,Magenta Line - Train 2
M9D003,Magenta Line,Magenta Line - Train 3
M9D004,Magenta Line,Magenta Line - Train 4
M9D005,Magenta Line,Magenta Line - Train 5
M9D006,Magenta Line,Magenta Line - Train 6
M9D007,Magenta Line,Magenta Line - Train 7
M9D008,Magenta Line,Magenta Line - Train 8
M9D009,Magenta Line,Magenta Line - Train 9
M9D010,Magenta Line,Magenta Line - Train 10
M9D011,Magenta Line,Magenta Line - Train 11
M9D012,Magenta Line,Magenta Line - Train 12
M9D013,Magenta Line,Magenta Line - Train 13
M9D014,Magenta Line,Magenta Line - Train 14
M9D015,Magenta Line,Magenta Line - Train 15
M9D016,Magenta Line,Magenta Line - Train 16
M9D017,Magenta Line,Magenta Line - Train 17
M9D018,Magenta Line,Magenta Line - Train 18
M9D019,Magenta Line,Magenta Line - Train 19
M9D020,Magenta Line,Magenta Line - Train 20
M9D021,Magenta Line,Magenta Line - Train 21
M9D022,Magenta Line,Magenta Line - Train 22
M9D023,Magenta Line,Magenta Line - Train 23
M9D024,Magenta Line,Magenta Line - Train 24
M9D025,Magenta Line,Magenta Line - Train 25
M9D026,Magenta Line,Magenta Line - Train 26
M9D027,Magenta Line,Magenta Line - Train 27
M9D028,Magenta Line,Magenta Line - Train 28
M9D029,Magenta Line,Magenta Line - Train 29
M9D030,Magenta Line,Magenta Line - Train 30
M9D031,Magenta Line,Magenta Line - Train 31
M9D032,Magenta Line,Magenta Line - Train 32
M9D033,Magenta Line,Magenta Line - Train 33
M9D034,Magenta Line,Magenta Line - Train 34
M9D035,Magenta Line,Magenta Line - Train 35
M9D036,Magenta Line,Magenta Line - Train 36
M9D037,Magenta Line,Magenta Line - Train 37
M9D038,Magenta Line,Magenta Line - Train 38
M9D039,Magenta Line,Magenta Line - Train 39
M9D040,Magenta Line,Magenta Line - Train 40
M9D041,Magenta Line,Magenta Line - Train 41
M9D042,Magenta Line,Magenta Line - Train 42
